param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.,0.,0.
8,0.,0.,0.
9,0.,0.,0.
10,0.,0.,0.
11,0.001,0.,0.001
12,0.001,0.,0.001
13,0.001,0.001,0.
14,0.001,0.001,0.
15,0.001,0.,0.001
16,0.001,0.,0.001
17,0.001,0.,0.001
18,0.002,0.002,0.
19,0.002,0.002,0.
20,0.002,0.,0.001
21,0.002,0.,0.001
22,0.036,0.003,0.033
23,0.002,0.,0.001
24,0.002,0.,0.002
25,0.002,0.,0.002
26,0.002,0.,0.002
27,0.002,0.,0.002
28,0.002,0.,0.002
29,0.017,0.,0.017
30,0.003,0.,0.003
31,0.003,0.,0.003
32,0.003,0.,0.003
33,0.003,0.,0.003
34,0.004,0.,0.004
35,0.005,0.,0.005
36,0.004,0.,0.004
37,0.004,0.,0.004
38,0.005,0.,0.005
39,0.005,0.,0.005
40,0.005,0.,0.005
41,0.005,0.,0.005
42,0.007,0.,0.007
43,0.006,0.,0.006
44,0.006,0.,0.006
45,0.006,0.,0.006
50,0.012,0.007,0.004
100,0.075,0.009,0.066
150,0.084,0.,0.084
200,0.16,0.,0.16
