param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.111,0.004,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.004,0.005
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.107,0.004,0.,0.,0.,0.,0.,0.,0.,0.002,0.002,0.,0.002,0.002,0.,0.064,0.016,0.048
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.107,0.,0.004,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.015,0.,0.015
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.107,0.,0.005,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.045,0.,0.045
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.105,0.,0.004,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.,0.004,0.027,0.,0.027
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.108,0.004,0.,0.001,0.,0.,0.,0.,0.,0.019,0.,0.019,0.019,0.,0.019,0.079,0.003,0.075
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.106,0.,0.005,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.049,0.,0.049
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.106,0.002,0.002,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.012,0.,0.012,0.045,0.,0.045
5,1,5,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.11,0.004,0.001,0.001,0.001,0.,0.,0.,0.,0.081,0.004,0.076,0.081,0.012,0.068,0.183,0.015,0.167
5,5,1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.109,0.003,0.001,0.,0.,0.,0.,0.,0.,0.024,0.,0.024,0.025,0.,0.025,0.076,0.,0.076
